end_codigo;end_logradouro;end_numero;end_bairro;end_municipio;end_cep;end_estado;end_pais
47;P.O. Box 518, 5372 Turpis Road;217;Jardim Esperança;Burdinne;12518150;SP;Cameroon
48;292-4611 Felis Av.;571;Jardim Esperança;Aulnay-sous-Bois;12518150;SP;Kyrgyzstan
49;198-6612 Ullamcorper Av.;537;Jardim Esperança;Motala;12518150;SP;Namibia
50;Ap #846-7714 Libero Street;78;Jardim Esperança;Sint-Gillis-Waas;12518150;SP;Congo, the Democratic Republic of the
51;P.O. Box 861, 3096 Vivamus St.;490;Jardim Esperança;Pike Creek;12518150;SP;Latvia
52;Ap #128-2079 Risus. Ave;172;Jardim Esperança;Estevan;12518150;SP;Jamaica
53;456-8163 Consequat St.;465;Jardim Esperança;Grey County;12518150;SP;New Caledonia
54;883-4595 Massa Road;780;Jardim Esperança;Vienna;12518150;SP;Iran
55;P.O. Box 961, 8465 Eu Avenue;996;Jardim Esperança;Renfrew;12518150;SP;Switzerland
56;1049 Penatibus Road;919;Jardim Esperança;Varanasi;12518150;SP;Holy See (Vatican City State)
57;P.O. Box 804, 6266 Risus. St.;832;Jardim Esperança;Connah's Quay;12518150;SP;Andorra
58;Ap #180-5057 Dolor St.;397;Jardim Esperança;Port Harcourt;12518150;SP;Singapore
59;668-2617 Aliquam Rd.;374;Jardim Esperança;Trollhättan;12518150;SP;Holy See (Vatican City State)
60;643-644 Nisi Road;932;Jardim Esperança;New Haven;12518150;SP;Cyprus
61;567-5563 Etiam St.;16;Jardim Esperança;Belfast;12518150;SP;Saint Barthélemy
62;592-7691 Faucibus St.;89;Jardim Esperança;Melton;12518150;SP;Tanzania
63;P.O. Box 436, 903 Est, St.;834;Jardim Esperança;Minitonas;12518150;SP;Guadeloupe
64;250-4718 Ac Av.;335;Jardim Esperança;Laval;12518150;SP;Georgia
65;P.O. Box 853, 6433 Ante Avenue;167;Jardim Esperança;Paredones;12518150;SP;Slovakia
66;P.O. Box 482, 2522 Commodo Rd.;535;Jardim Esperança;Galway;12518150;SP;Malta
67;5347 Et Av.;87;Jardim Esperança;Bauchi;12518150;SP;Estonia
68;928-1811 Ornare, Street;859;Jardim Esperança;Jalgaon;12518150;SP;Cyprus
69;2410 A St.;440;Jardim Esperança;Montes Claros;12518150;SP;Greenland
70;235 Nulla Street;677;Jardim Esperança;Pukekohe;12518150;SP;Bouvet Island
71;P.O. Box 871, 8553 Euismod Rd.;30;Jardim Esperança;Oxford County;12518150;SP;Slovakia
72;Ap #598-990 Nascetur Street;79;Jardim Esperança;Glauchau;12518150;SP;French Southern Territories
73;P.O. Box 907, 2950 Euismod Avenue;382;Jardim Esperança;Kawawachikamach;12518150;SP;Barbados
74;P.O. Box 377, 9403 Aliquam Street;349;Jardim Esperança;Novo Hamburgo;12518150;SP;Saint Barthélemy
75;169-8241 Fringilla Rd.;200;Jardim Esperança;Gijón;12518150;SP;Svalbard and Jan Mayen Islands
76;684 Nullam Avenue;767;Jardim Esperança;Cerrillos;12518150;SP;Bahamas
77;2046 Non, St.;210;Jardim Esperança;Artena;12518150;SP;Pakistan
78;3172 Nec, Rd.;534;Jardim Esperança;Cartago;12518150;SP;Israel
79;578-4699 Enim Avenue;974;Jardim Esperança;Granada;12518150;SP;Israel
80;632-2462 Quis St.;2;Jardim Esperança;Foz do Iguaçu;12518150;SP;Isle of Man
81;P.O. Box 479, 9692 Nullam Road;891;Jardim Esperança;Dortmund;12518150;SP;Poland
82;Ap #740-6405 Ut Rd.;592;Jardim Esperança;Auckland;12518150;SP;Bosnia and Herzegovina
83;P.O. Box 383, 843 Lorem St.;345;Jardim Esperança;Sagar;12518150;SP;Qatar
84;P.O. Box 405, 2916 Enim St.;600;Jardim Esperança;LiŽge;12518150;SP;Venezuela
85;9789 Elit Street;14;Jardim Esperança;Concepción;12518150;SP;Nauru
86;P.O. Box 209, 4645 Mauris Rd.;749;Jardim Esperança;Ere?li;12518150;SP;Egypt
87;P.O. Box 400, 4972 Elementum Road;845;Jardim Esperança;Bowling Green;12518150;SP;Jersey
88;P.O. Box 919, 5035 Neque St.;893;Jardim Esperança;Grafton;12518150;SP;Guadeloupe
89;879 Et, Street;110;Jardim Esperança;Cobquecura;12518150;SP;Uzbekistan
90;852-4110 Neque. Rd.;883;Jardim Esperança;Timon;12518150;SP;South Georgia and The South Sandwich Islands
91;9492 Morbi Street;154;Jardim Esperança;Merzig;12518150;SP;Colombia
92;9180 Facilisi. Ave;806;Jardim Esperança;Berlin;12518150;SP;Saint Martin
93;9330 Consectetuer Avenue;215;Jardim Esperança;Blue Mountains;12518150;SP;Uzbekistan
94;822-6527 Ullamcorper Avenue;951;Jardim Esperança;Caucaia;12518150;SP;Somalia
95;Ap #827-2676 Ante. Avenue;33;Jardim Esperança;Titagarh;12518150;SP;Namibia
96;481-2553 Sociis Avenue;205;Jardim Esperança;Segovia;12518150;SP;Cook Islands
97;Ap #493-4442 Donec Avenue;404;Jardim Esperança;Vienna;12518150;SP;Slovenia
98;6831 Ligula. Rd.;257;Jardim Esperança;Reus;12518150;SP;Norfolk Island
99;P.O. Box 686, 9396 Fusce Ave;960;Jardim Esperança;Courbevoie;12518150;SP;Ghana
100;755-9178 A, St.;928;Jardim Esperança;Lincoln;12518150;SP;Bhutan
101;8273 Nibh. Rd.;800;Jardim Esperança;San Vicente;12518150;SP;Venezuela
102;8988 Molestie Avenue;727;Jardim Esperança;Maryborough;12518150;SP;Guinea
103;757-4667 Etiam Rd.;9;Jardim Esperança;Pontedera;12518150;SP;Bouvet Island
104;7189 Vitae Rd.;29;Jardim Esperança;Szczecin;12518150;SP;San Marino
105;6359 Mi. Rd.;910;Jardim Esperança;Rocca Santo Stefano;12518150;SP;Saint Vincent and The Grenadines
106;P.O. Box 921, 875 Nonummy Av.;941;Jardim Esperança;Collipulli;12518150;SP;Guyana
107;387-1569 Ut St.;968;Jardim Esperança;Vienna;12518150;SP;Kyrgyzstan
